"RESPNUM"	"CCGID"	"TERM"	"STRATA"	"ATYPE"	"AIRLINE"	"DEST"	"GATENUM"	"INTDATE"	"Q1"	"Q2_1"	"Q2_2"	"Q2_3"	"Q2_4"	"Q2_5"	"Q2_6"	"Q3_1"	"Q3_2"	"Q3_3"	"Q3_4"	"Q3_5"	"Q3_6"	"Q3A"	"Q4A"	"Q4B"	"Q4C"	"Q5"	"Q5AVG"	"SAQ"	"Q6A"	"Q6B"	"Q6C"	"Q6D"	"Q6E"	"Q6F"	"Q6G"	"Q6H"	"Q6I"	"Q6J"	"Q6K"	"Q6L"	"Q6M"	"Q6N"	"Q7COM1"	"Q7COM2"	"Q7COM3"	"Q7A1"	"Q7A2"	"Q7A3"	"Q8A"	"Q8B"	"Q8C"	"Q8D"	"Q8E"	"Q8F"	"Q8COM1"	"Q8COM2"	"Q8COM3"	"Q9"	"Q9APOS1"	"Q9APOS2"	"Q9APOS3"	"Q9ANEG1"	"Q9ANEG2"	"Q9ANEG3"	"Q9ANTR1"	"Q9ANTR2"	"Q9ANTR3"	"Q10"	"Q11"	"Q11A1"	"Q11A2"	"Q11A3"	"Q12"	"Q13A"	"Q13B"	"Q13_COM"	"Q13COM1"	"Q13COM2"	"Q13COM3"	"Q14"	"Q14A"	"Q14A1"	"Q14A2"	"Q14A3"	"Q15"	"SFFLAG"	"COUNTRY"	"Q17"	"AGE"	"Q18"	"Q19"	"INC"	"MAIL"	"LANG"	"DESTMARK"	"DESTINATION"	"DESTGEO"	"WEIGHT"	"Location.1"	"Q7_text_All"
"1,710"	"1,189"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	2	2	2	2	2	2	4	3	4	5	5	5	4	4	5	5	4	6	6	5	NA	NA	NA	NA	NA	NA	4	6	6	6	4	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	5	49.5	1	NA	""	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,711"	"1,190"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	1	1	2	1	6	36	2	4	3	3	4	4	4	3	3	4	3	5	4	6	NA	NA	NA	NA	NA	NA	NA	4	5	5	5	3	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	4	39.5	1	4	"175,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,712"	"1,191"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	4	11	NA	NA	NA	NA	9	2	NA	NA	6	36	2	4	2	3	3	3	3	3	3	4	4	4	4	4	3	90	NA	NA	NA	NA	NA	3	3	4	4	3	3	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	4	39.5	1	4	"175,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"1,713"	"1,192"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	NA	2	1	1	3	4.5	2	3	4	3	4	4	3	3	3	4	4	4	4	3	4	NA	NA	NA	NA	NA	NA	3	3	4	4	3	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	4	39.5	1	4	"175,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,714"	"1,193"	1	1	1	6	3	24	7	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	1	3	4.5	2	3	3	3	3	2	4	4	3	5	5	5	3	3	5	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	1	5	5	7	NA	2	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	11	62	3	29.5	1	2	"75,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,715"	"1,194"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	1	1	2	2	2	4	3	3	4	4	5	5	5	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	31	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	3	62	7	75	1	2	"75,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,716"	"1,195"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	NA	1	1	1	1	1	2	4	4	4	5	5	5	5	5	5	5	5	5	5	5	40	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	1	15	1	3	"125,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	" General positive comments about SFO"
"1,717"	"1,196"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	3	2	1	2	1	1	2	4	4	4	5	5	5	5	5	4	5	4	5	4	5	40	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	1	15	1	3	"125,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	" General positive comments about SFO"
"1,718"	"1,197"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	3	1	1	1	1	1	2	3	4	3	5	3	5	6	6	5	5	6	5	6	5	NA	NA	NA	NA	NA	NA	5	5	6	6	5	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	4	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	16	62	4	39.5	2	NA	""	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,719"	"1,198"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	5	18.5	2	5	5	5	5	5	5	5	5	6	6	6	6	6	5	20	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	13	NA	NA	2	NA	NA	NA	NA	1	1	62	3	29.5	1	4	"175,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	" Airport Layout-Terminals too far away/confusing/too difficult/takes too long to get around airport/no way to get between terminals after getting through security/domestic airlines in international terminal"
"1,720"	"1,199"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	3	1	1	2	1	1	2	4	4	3	3	3	3	3	3	3	3	6	3	6	4	NA	NA	NA	NA	NA	NA	4	4	6	6	4	4	NA	NA	NA	4	8	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	4	3	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	16	62	4	39.5	1	2	"75,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,721"	"1,200"	1	1	1	6	3	24	7	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	1	1	2	6	6	6	6	6	4	6	6	6	6	6	6	6	3	NA	NA	NA	NA	NA	NA	3	6	6	6	6	3	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	3	4	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	62	7	75	1	NA	""	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,722"	"1,201"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	1	1	2	2	2	3	4	4	4	3	4	4	4	4	6	6	4	6	4	90	NA	NA	NA	NA	NA	4	6	6	6	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	1	62	5	49.5	2	3	"125,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"1,723"	"1,202"	1	1	1	6	3	24	7	2	2	8	NA	NA	NA	NA	5	11	NA	NA	NA	NA	9	2	2	1	3	4.5	2	6	4	3	4	5	5	6	6	3	6	4	6	6	4	NA	NA	NA	NA	NA	NA	5	6	5	6	3	5	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	1	4	8	4	NA	1	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	10	62	5	49.5	1	2	"75,000"	1	1	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,724"	"1,203"	1	1	1	6	3	24	7	2	11	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	1	1	2	4	4	5	5	5	5	4	4	5	5	5	5	5	5	NA	NA	NA	NA	NA	NA	5	4	5	4	4	5	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	12	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	33	4	39.5	2	NA	""	1	2	1	"PUERTO VALLA"	4	1.013018	NA	""
"1,725"	"909"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	1	1	2	1	1	1	6	6	4	4	4	4	6	6	6	6	6	6	6	4	51	NA	NA	NA	NA	NA	4	6	6	6	6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	3	3	NA	NA	NA	NA	1	NA	3	NA	NA	2	4	12	5	49.5	2	4	"175,000"	1	3	4	"BEIJING"	8	0.636476	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"1,726"	"910"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	2	2	1	6	6	6	5	5	5	6	6	6	3	6	6	6	5	74	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	7	75	NA	3	"125,000"	1	3	4	"BEIJING"	8	0.636476	NA	" Luggage carts-not enough/inconveniently located/should be free"
"1,727"	"911"	2	2	2	35	3	96	9	2	11	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	2	1	2	2	2	2	1	6	6	6	5	5	5	6	6	6	5	6	6	6	5	76	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	7	75	2	NA	""	1	3	4	"BEIJING"	8	0.636476	NA	" Need water fountains"
"1,728"	"912"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	4	1	2	2	1	1	1	4	6	6	4	6	6	6	6	6	6	6	6	6	5	NA	NA	NA	NA	NA	NA	4	6	6	6	6	5	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	17	4	5	NA	NA	NA	NA	2	NA	NA	NA	NA	4	3	62	5	49.5	2	1	"25,000"	1	1	4	"BEIJING"	8	0.636476	NA	""
"1,729"	"913"	2	2	2	35	3	96	9	2	4	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	1	1	NA	NA	2	2	2	5	5	4	5	5	5	4	4	5	5	5	5	NA	5	NA	NA	NA	NA	NA	NA	5	5	4	4	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	12	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	24	7	75	1	2	"75,000"	1	1	4	"BEIJING"	8	0.636476	NA	""
"1,730"	"914"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	1	1	1	1	1	2	3	4	3	2	3	3	2	2	2	1	3	1	3	3	NA	NA	NA	NA	NA	NA	3	2	6	3	3	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	7	3	2	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	4	39.5	1	4	"175,000"	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,731"	"915"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	NA	1	1	1	2	3	3	3	3	4	5	5	5	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	5	49.5	2	3	"125,000"	1	1	4	"BEIJING"	8	0.636476	NA	""
"1,732"	"916"	2	2	2	35	3	96	9	2	4	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	1	2	2	2	3	4.5	2	6	4	6	5	5	5	6	6	5	5	6	6	6	5	51	NA	NA	NA	NA	NA	5	5	5	6	5	5	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	12	2	21	1	NA	""	1	1	4	"BEIJING"	8	0.636476	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"1,733"	"917"	2	2	2	35	3	96	9	2	1	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	1	2	1	1	2	6	6	5	5	4	4	6	6	4	6	6	6	6	4	90	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	12	3	29.5	2	2	"75,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"1,734"	"918"	2	2	2	35	3	96	9	1	8	NA	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	NA	NA	1	1	2	4	3	4	4	4	3	4	4	3	3	NA	4	4	4	NA	NA	NA	NA	NA	NA	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	3	5	NA	NA	NA	NA	NA	""	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,735"	"919"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	1	3	4.5	2	4	3	3	4	4	3	3	3	4	2	4	4	3	4	74	NA	NA	NA	NA	NA	4	4	5	4	4	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	5	4	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	6	59.5	1	4	"175,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Luggage carts-not enough/inconveniently located/should be free"
"1,736"	"920"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	1	1	1	1	2	6	5	4	4	5	5	6	6	6	6	6	6	6	5	51	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	6	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	7	75	2	3	"125,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"1,737"	"921"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	2	1	1	1	2	6	3	6	4	4	4	6	4	6	6	6	6	6	4	51	NA	NA	NA	NA	NA	4	6	6	6	4	5	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	12	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	7	75	1	3	"125,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Signage inside airport confusing/small/hard to find gate or airline"
"1,738"	"922"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	7	11	NA	NA	NA	NA	9	1	2	1	1	1	2	5	3	5	4	5	4	4	4	5	6	6	6	6	4	8	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	12	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	62	6	59.5	NA	2	"75,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Need restaurants/stores/clubs after security"
"1,739"	"923"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	NA	NA	1	1	2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	NA	NA	NA	NA	NA	NA	6	6	6	6	6	6	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	12	62	6	59.5	2	4	"175,000"	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,740"	"924"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	NA	NA	NA	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	40	NA	NA	NA	NA	NA	5	6	6	6	5	6	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	5	NA	5	49.5	2	NA	""	1	3	4	"BEIJING"	8	0.636476	NA	" General positive comments about SFO"
"1,741"	"925"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	2	3	4.5	2	4	4	2	5	4	4	6	6	5	3	4	6	6	4	74	73	27	NA	NA	NA	4	3	4	6	3	4	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	24	3	29.5	2	1	"25,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Luggage carts-not enough/inconveniently located/should be free  Wifi-not free long enough/difficult to access/doesn’t cover entire airport/overloaded/didn’t know was available  Airtrain not convenient/slow/difficult to use/not enough seats"
"1,742"	"926"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	3	4.5	2	5	4	4	5	5	5	6	6	2	5	6	4	6	4	50	NA	NA	NA	NA	NA	5	6	6	6	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	7	5	3	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	3	29.5	1	4	"175,000"	1	1	4	"BEIJING"	8	0.636476	NA	" Signage outside airport confusing/hard to get to airport/difficult to find correct terminal"
"1,743"	"927"	2	2	2	35	3	96	9	2	1	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	1	2	1	2	2	2	4	4	4	4	5	3	4	4	4	6	5	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	5	5	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	12	3	29.5	1	1	"25,000"	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,744"	"928"	2	2	2	35	3	96	9	1	3	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	1	1	2	2	2	4	3	4	4	4	4	4	4	4	6	6	6	6	4	NA	NA	NA	NA	NA	NA	3	6	6	6	2	2	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	11	3	4	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	62	4	39.5	2	NA	""	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,745"	"929"	2	2	2	35	3	96	9	2	3	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	NA	1	1	2	6	6	NA	5	5	5	4	4	4	4	NA	6	6	5	NA	NA	NA	NA	NA	NA	4	4	4	4	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	5	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	10	62	6	59.5	1	2	"75,000"	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,746"	"930"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	1	1	3	4.5	2	3	4	5	4	4	4	3	3	4	4	6	6	6	4	NA	NA	NA	NA	NA	NA	4	4	6	6	4	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	1	3	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	12	6	59.5	1	2	"75,000"	1	3	4	"BEIJING"	8	0.636476	NA	""
"1,747"	"931"	2	2	2	35	3	96	9	2	2	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	2	2	2	4	4	6	4	4	5	6	6	5	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	5	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	NA	NA	NA	7	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	1	13	62	3	29.5	2	4	"175,000"	1	1	4	"BEIJING"	8	0.636476	NA	""
"1,748"	"1,420"	2	3	2	3	3	93	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	1	1	1	6	6	6	4	5	5	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	1	5	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	2	7	75	2	NA	""	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,749"	"1,421"	2	3	2	3	3	93	8	2	1	8	NA	NA	NA	NA	8	11	NA	NA	NA	NA	9	1	2	2	1	1	1	5	6	6	4	4	6	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	3	6	6	6	6	6	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	3	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	36	6	59.5	2	NA	""	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,750"	"1,422"	2	3	2	3	3	93	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	1	1	1	1	3	4	3	4	4	4	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	4	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	2	3	29.5	1	2	"75,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,751"	"1,423"	2	3	2	3	3	93	8	2	1	8	NA	NA	NA	NA	2	11	NA	NA	NA	NA	9	1	2	2	2	2	1	5	6	4	5	5	5	6	6	6	6	6	6	6	5	NA	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	1	5	4	NA	NA	5	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	36	2	21	2	1	"25,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,752"	"1,424"	2	3	2	3	3	93	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	1	1	1	5	6	6	4	5	5	6	3	6	6	6	6	6	5	54	NA	NA	NA	NA	NA	5	6	6	6	6	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	3	6	NA	14	NA	NA	2	NA	NA	NA	NA	3	4	62	7	75	2	1	"25,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	" Information booth not staffed/personnel unhelpful/not knowledgeable"
"1,753"	"1,425"	2	3	2	3	3	93	8	2	2	8	NA	NA	NA	NA	6	11	NA	NA	NA	NA	9	1	2	2	1	1	2	3	4	4	3	4	4	4	4	4	4	4	6	6	4	NA	NA	NA	NA	NA	NA	5	6	6	6	4	4	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	4	5	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	2	3	29.5	1	2	"75,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,754"	"1,426"	2	3	2	3	3	93	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	1	1	1	1	1	2	4	3	3	4	4	4	4	4	4	6	4	6	4	4	40	NA	NA	NA	NA	NA	4	6	4	3	4	4	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	5	5	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	2	7	75	1	1	"25,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	" General positive comments about SFO"
"1,755"	"1,427"	2	3	2	3	3	93	8	2	3	8	NA	NA	NA	NA	1	11	NA	NA	NA	NA	2	1	1	2	1	1	2	6	6	3	4	4	4	6	6	4	4	6	6	6	4	90	NA	NA	NA	NA	NA	5	5	6	6	6	3	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	14	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	2	4	36	7	75	2	1	"25,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	" Security/Customs lines/procedures long/inefficient/ineffective"
"1,756"	"1,428"	2	3	2	3	3	93	8	1	8	NA	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	1	1	2	3	3	3	4	3	4	3	3	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	4	4	6	6	6	4	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	4	4	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	36	2	21	1	1	"25,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	""
"1,757"	"1,429"	2	3	2	3	3	93	8	1	2	8	NA	NA	NA	NA	3	11	NA	NA	NA	NA	9	2	2	2	2	2	2	6	6	6	4	4	3	6	6	6	6	6	6	6	4	NA	NA	NA	NA	NA	NA	4	6	6	6	6	6	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	11	4	3	NA	NA	NA	NA	2	NA	NA	NA	NA	3	4	62	6	59.5	NA	3	"125,000"	1	1	2	"AUCKLAND"	9	0.636476	NA	""
